Geo_Loc,Year,State,Pop_Est,TTL_Cnty,Cnty_Rpt,Dys_w_AQI,Dys_NM,Dys_Blw_Thr,Dys_Abv_Thr,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
POINT (-72.51764079099962 43.62538123900049),1981,Vermont,515594,14,3,817,278,809,8,748,61,7,1,0,0,432,147,87,195,0,622,0,0
POINT (-78.45789046299967 37.54268067400045),1981,Virginia,5444094,134,19,5268,1667,4861,407,3701,1160,297,100,10,0,3322,1760,762,1347,1172,2749,0,0
POINT (-120.47001078999972 47.52227862900048),1981,Washington,4235728,39,6,1977,213,1808,169,1061,747,126,33,10,0,1005,491,274,1495,51,431,0,0
POINT (-80.71264013499967 38.66551020200046),1981,West Virginia,1954125,55,2,660,70,641,19,568,73,19,0,0,0,254,113,50,264,231,165,0,0
POINT (-89.81637074199966 44.39319117400049),1981,Wisconsin,4726345,72,23,5862,2533,5573,289,4928,645,198,61,30,0,3668,1593,751,333,853,4676,0,0
POINT (-108.10983035299967 43.23554134300048),1981,Wyoming,491712,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POINT (-86.63186076199969 32.84057112200048),1982,Alabama,3925263,67,8,2030,890,1845,185,1399,446,148,32,5,0,1382,713,325,98,26,1906,0,0
POINT (-147.72205903599973 64.84507995700051),1982,Alaska,449606,30,2,730,0,643,87,437,206,55,26,6,0,458,226,73,730,0,0,0,0
POINT (-111.76381127699972 34.865970280000454),1982,Arizona,2889860,15,8,2590,330,2374,216,1739,635,180,29,7,0,1091,575,334,946,516,1128,0,0
POINT (-92.27449074299966 34.74865012400045),1982,Arkansas,2294254,75,1,365,0,357,8,284,73,7,1,0,0,190,71,37,6,46,313,0,0
POINT (-120.99999953799971 37.63864012300047),1982,California,24820007,58,41,13835,1130,11744,2091,8606,3138,1061,496,534,0,7250,4344,2121,1785,3571,8479,0,0
POINT (-106.13361092099967 38.843840757000464),1982,Colorado,3061562,64,10,3567,83,3319,248,2294,1025,190,44,14,0,1591,806,426,1675,376,1516,0,0
POINT (-72.64984095199964 41.56266102000046),1982,Connecticut,3139014,8,6,1674,516,1325,349,740,585,163,104,82,0,1469,927,349,383,358,933,0,0
POINT (-75.57774116799965 39.008830667000495),1982,Delaware,599148,3,2,574,156,516,58,427,89,34,17,7,0,305,159,66,74,114,386,0,0
POINT (-77.036871 38.907192),1982,District Of Columbia,634174,1,1,365,0,320,45,135,185,24,14,7,0,220,105,57,110,169,86,0,0
POINT (-81.92896053899966 28.932040377000476),1982,Florida,10471405,67,13,3805,940,3658,147,2781,877,125,20,2,0,1793,862,500,1191,267,2347,0,0
POINT (-83.62758034599966 32.83968109300048),1982,Georgia,5649788,159,4,1129,331,1058,71,825,233,58,12,1,0,728,357,156,484,82,563,0,0
POINT (-157.85774940299973 21.304850435000446),1982,Hawaii,993780,5,1,365,0,364,1,320,44,1,0,0,0,115,53,30,327,0,38,0,0
POINT (-114.3637300419997 43.682630005000476),1982,Idaho,973719,44,1,364,1,351,13,166,185,11,2,0,0,192,87,53,364,0,0,0,0
POINT (-88.99771017799969 40.48501028300046),1982,Illinois,11423413,102,21,7021,644,6819,202,5647,1172,165,33,4,0,3091,1367,730,1032,481,5508,0,0
POINT (-86.14996019399968 39.766910452000445),1982,Indiana,5467918,92,15,4838,637,4505,333,3863,642,228,92,13,0,2247,1044,460,338,2398,2102,0,0
POINT (-93.81649055599968 42.46940091300047),1982,Iowa,2888190,99,6,1991,199,1973,18,1679,294,18,0,0,0,718,325,205,651,0,1340,0,0
POINT (-98.20078122699965 38.34774030000045),1982,Kansas,2401207,105,3,915,180,891,24,705,186,20,4,0,0,429,209,113,188,114,613,0,0
POINT (-84.77497104799966 37.645970271000465),1982,Kentucky,3683449,120,30,7616,3334,7104,512,5317,1787,420,86,6,0,4594,2718,1410,695,1441,5480,0,0
POINT (-92.44568007099969 31.31266064400046),1982,Louisiana,4352609,64,11,3380,635,3192,188,2705,487,133,39,16,0,2096,842,394,135,195,3050,0,0
POINT (-68.98503133599962 45.254228894000505),1982,Maine,1136683,16,7,1436,1119,1372,64,1225,147,36,23,5,0,1208,457,209,466,67,903,0,0
POINT (-76.60926011099963 39.29058096400047),1982,Maryland,4282923,24,10,3313,337,2895,418,2153,742,287,113,18,0,1883,1048,414,457,528,2328,0,0
POINT (-72.08269067499964 42.27687047000046),1982,Massachusetts,5771222,14,9,2313,972,2115,198,1353,762,135,46,17,0,1991,888,412,516,526,1271,0,0
POINT (-84.71439026999968 44.6613195430005),1982,Michigan,9115196,83,13,3855,890,3616,239,3058,558,178,54,7,0,2150,1012,430,1002,311,2542,0,0
POINT (-94.79420050299967 46.35564873600049),1982,Minnesota,4131450,87,10,2821,829,2779,42,2044,735,37,5,0,0,1175,608,375,1540,82,1199,0,0
POINT (-89.53803082499968 32.745510099000455),1982,Mississippi,2556776,82,3,763,332,738,25,615,123,19,3,3,0,570,215,116,126,28,609,0,0
POINT (-92.56630005299968 38.635790776000476),1982,Missouri,4929456,115,9,2479,806,2348,131,1811,537,111,16,4,0,1395,716,338,558,544,1377,0,0
POINT (-109.42442064499971 47.06652897200047),1982,Montana,803984,56,4,1150,310,1143,7,1023,120,5,2,0,0,486,193,112,785,152,213,0,0
POINT (-99.36572062299967 41.6410409880005),1982,Nebraska,1581776,93,2,730,0,710,20,570,140,14,4,2,0,371,133,76,360,0,370,0,0
POINT (-117.07184056399967 39.493240390000494),1982,Nevada,881538,17,4,886,574,758,128,421,337,93,23,11,1,774,329,193,374,72,440,0,0
POINT (-71.50036091999965 43.65595011300047),1982,New Hampshire,947720,10,4,1000,460,931,69,611,320,49,16,4,0,797,306,175,329,0,671,0,0
POINT (-74.27369128799967 40.13057004800049),1982,New Jersey,7430970,21,19,5900,1035,5217,683,3547,1670,426,199,58,0,3569,1843,829,2366,1155,2379,0,0
POINT (-106.24058098499967 34.52088095200048),1982,New Mexico,1363822,33,5,1797,28,1738,59,1359,379,37,11,11,0,645,318,184,1046,21,730,0,0
POINT (-75.54397042699964 42.82700103200045),1982,New York,17589737,62,21,7153,512,6756,397,5388,1368,284,94,19,0,3798,1607,765,1487,995,4671,0,0
POINT (-79.15925046299964 35.466220975000454),1982,North Carolina,6019108,100,20,3714,3586,3493,221,2568,925,182,36,3,0,2834,1507,798,941,191,2582,0,0
POINT (-100.11842104899966 47.47531977900047),1982,North Dakota,668972,53,4,1145,315,1145,0,1103,42,0,0,0,0,273,161,114,0,143,1002,0,0
POINT (-82.40426005599966 40.06021014100048),1982,Ohio,10757085,88,23,7849,546,6979,870,5431,1548,590,241,39,0,4575,2357,906,974,1335,5540,0,0
POINT (-97.52107021399968 35.47203135600046),1982,Oklahoma,3206129,77,4,1035,425,964,71,713,251,60,10,1,0,508,256,138,141,290,604,0,0
POINT (-120.15503132599969 44.56744942400047),1982,Oregon,2664919,36,8,2682,238,2596,86,1823,773,74,12,0,0,1123,533,328,1499,1,1181,0,1
POINT (-77.86070029399963 40.79373015200048),1982,Pennsylvania,11845146,67,24,7952,808,7197,755,5256,1941,503,213,39,0,4639,2198,981,562,3442,3948,0,0
POINT (-71.52247031399963 41.70828019300046),1982,Rhode Island,954170,5,2,697,33,649,48,432,217,29,12,7,0,437,177,87,207,89,401,0,0
POINT (-81.04537120699968 33.998821303000454),1982,South Carolina,3207611,46,13,2939,1806,2739,200,2243,496,167,32,1,0,1866,1071,462,440,30,2444,0,25
POINT (-100.3735306369997 44.353130053000484),1982,South Dakota,690597,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POINT (-85.77449091399967 35.68094058000048),1982,Tennessee,4646043,95,10,3270,380,2978,292,2027,951,240,45,7,0,1721,858,391,654,228,2388,0,0
POINT (-99.42677020599967 31.827240407000488),1982,Texas,15331408,254,16,5137,703,4580,557,3535,1045,334,152,71,0,3458,1708,654,351,808,3978,0,0
POINT (-111.58713063499971 39.360700171000474),1982,Utah,1558314,29,5,1703,122,1529,174,748,781,128,37,9,0,912,481,272,777,185,741,0,0
POINT (-72.51764079099962 43.62538123900049),1982,Vermont,519108,14,3,643,452,621,22,565,56,18,4,0,0,489,211,94,203,0,440,0,0
POINT (-78.45789046299967 37.54268067400045),1982,Virginia,5492785,134,17,5291,914,4919,372,3785,1134,263,98,11,0,2866,1460,680,1309,1353,2629,0,0
POINT (-120.47001078999972 47.52227862900048),1982,Washington,4276551,39,6,2073,117,1911,162,1239,672,146,16,0,0,1039,481,275,1500,111,462,0,0
POINT (-80.71264013499967 38.66551020200046),1982,West Virginia,1949605,55,4,1237,223,1171,66,961,210,54,12,0,0,663,283,151,245,561,431,0,0
POINT (-89.81637074199966 44.39319117400049),1982,Wisconsin,4728862,72,21,5511,2154,5297,214,4570,727,158,56,0,0,3268,1423,709,485,986,4040,0,0
POINT (-108.10983035299967 43.23554134300048),1982,Wyoming,506400,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POINT (-86.63186076199969 32.84057112200048),1983,Alabama,3934100,67,6,1374,816,1190,184,860,330,135,40,9,0,1135,619,252,151,0,1223,0,0
POINT (-147.72205903599973 64.84507995700051),1983,Alaska,488418,30,2,639,91,536,103,340,196,70,23,10,0,457,241,89,616,0,23,0,0
POINT (-111.76381127699972 34.865970280000454),1983,Arizona,2968924,15,8,2664,256,2464,200,1875,589,144,47,9,0,998,569,238,1052,451,1161,0,0
POINT (-92.27449074299966 34.74865012400045),1983,Arkansas,2305766,75,1,365,0,320,45,257,63,39,6,0,0,182,105,41,2,36,327,0,0
POINT (-120.99999953799971 37.63864012300047),1983,California,25360023,58,40,13222,1378,11225,1997,8427,2798,934,508,555,0,7410,4405,1994,1625,3311,8286,0,0
POINT (-106.13361092099967 38.843840757000464),1983,Colorado,3133634,64,10,3441,209,3083,358,2052,1031,298,42,18,0,1917,859,440,1371,617,1453,0,0
POINT (-72.64984095199964 41.56266102000046),1983,Connecticut,3162355,8,6,1687,503,1276,411,728,548,150,110,151,0,1592,1088,359,379,343,965,0,0
POINT (-75.57774116799965 39.008830667000495),1983,Delaware,605459,3,3,817,278,609,208,420,189,105,65,38,0,727,488,168,54,155,608,0,0
POINT (-77.036871 38.907192),1983,District Of Columbia,632433,1,1,365,0,304,61,117,187,25,28,8,0,230,150,60,187,88,90,0,0
POINT (-81.92896053899966 28.932040377000476),1983,Florida,10749849,67,15,3739,1736,3591,148,2678,913,122,23,3,0,2135,988,558,1023,374,2342,0,0
POINT (-83.62758034599966 32.83968109300048),1983,Georgia,5728248,159,5,1334,491,1200,134,879,321,74,34,26,0,937,527,191,464,267,603,0,0
POINT (-157.85774940299973 21.304850435000446),1983,Hawaii,1012717,5,1,365,0,365,0,338,27,0,0,0,0,71,48,31,295,0,70,0,0
POINT (-114.3637300419997 43.682630005000476),1983,Idaho,981866,44,1,243,122,234,9,114,120,6,1,2,0,202,81,51,243,0,0,0,0
